iso,country,GCAM_region_ID,region,1C,2C,3C,4C
ury,Uruguay,26,South America_Southern,-0.471,-1.023,-1.776,-2.785
afg,Afghanistan,27,South Asia,-2.778,-6.002,-9.606,-13.88
bgd,Bangladesh,27,South Asia,-2.285,-4.755,-7.591,-11.237
btn,Bhutan,27,South Asia,-2.778,-6.002,-9.606,-13.88
lka,Sri Lanka,27,South Asia,-2.989,-6.941,-11.716,-17.437
mdv,Maldives,27,South Asia,-2.778,-6.002,-9.606,-13.88
npl,Nepal,27,South Asia,-1.012,-2.881,-5.731,-9.859
kor,South Korea,28,South Korea,-0.211,-0.731,-1.498,-2.666
asm,American Samoa,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
brn,Brunei Darussalam,29,Southeast Asia,-1.202,-3.134,-5.563,-8.173
cck,Cocos (Keeling) Islands,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
cok,Cook Islands,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
cxr,Christmas Island,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
fji,Fiji,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
fsm,"Micronesia, Federated States of",29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
gum,Guam,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
khm,Cambodia,29,Southeast Asia,-3.509,-7.572,-12.101,-17.183
kir,Kiribati,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
lao,Laos,29,Southeast Asia,-3.369,-6.795,-10.62,-15.759
mhl,Marshall Islands,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
mmr,Myanmar,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
mnp,Northern Mariana Islands,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
mys,Malaysia,29,Southeast Asia,-3.084,-7.145,-12.118,-17.339
myt,Mayotte,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
ncl,New Caledonia,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
nfk,Norfolk Island,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
niu,Niue,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
nru,Nauru,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
pci,Pacific Islands Trust Territory,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
pcn,Pitcairn Islands,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
phl,Philippines,29,Southeast Asia,-4.113,-9.185,-14.798,-20.986
plw,Palau,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
png,Papua New Guinea,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
prk,"Korea, Democratic Peoples Republic of",29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
pyf,French Polynesia,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
sgp,Singapore,29,Southeast Asia,-2.729,-6.923,-11.652,-16.566
slb,Solomon Islands,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
syc,Seychelles,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
tha,Thailand,29,Southeast Asia,-2.541,-5.749,-9.243,-13.269
tkl,Tokelau,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
tls,Timor Leste,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
ton,Tonga,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
tuv,Tuvalu,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
vnm,Vietnam,29,Southeast Asia,-2.223,-4.862,-7.959,-11.641
vut,Vanuatu,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
wsm,Samoa,29,Southeast Asia,-3.1,-6.9095,-11.207,-16.1415
twn,Taiwan,30,Taiwan,-1.597,-3.56,-5.978,-8.552
arg,Argentina,31,Argentina,-0.36,-0.872,-1.583,-2.61
col,Colombia,32,Colombia,-1.104,-2.714,-5.532,-9.325
