iso,GCAM_region_ID,year,scenario,temp_change,gdp
kwt,21,2020,SSP1,1C,101921.4263
kwt,21,2020,SSP1,2C,101921.4263
kwt,21,2020,SSP1,3C,101921.4263
kwt,21,2020,SSP1,4C,101921.4263
lao,29,2020,SSP1,1C,12918.96769
lao,29,2020,SSP1,2C,12918.96769
lao,29,2020,SSP1,3C,12918.96769
lao,29,2020,SSP1,4C,12918.96769
lbn,21,2020,SSP1,1C,39278.79136
lbn,21,2020,SSP1,2C,39278.79136
lbn,21,2020,SSP1,3C,39278.79136
lbn,21,2020,SSP1,4C,39278.79136
lbr,5,2020,SSP1,1C,2650.646704
lbr,5,2020,SSP1,2C,2650.646704
lbr,5,2020,SSP1,3C,2650.646704
lbr,5,2020,SSP1,4C,2650.646704
lby,3,2020,SSP1,1C,54027.9551
lby,3,2020,SSP1,2C,54436.9772
lby,3,2020,SSP1,3C,54962.47935
lby,3,2020,SSP1,4C,55630.7635
lca,9,2020,SSP1,1C,817.0449994
lca,9,2020,SSP1,2C,817.0449994
lca,9,2020,SSP1,3C,817.0449994
lca,9,2020,SSP1,4C,817.0449994
lka,27,2020,SSP1,1C,62658.11545
lka,27,2020,SSP1,2C,62658.11545
lka,27,2020,SSP1,3C,62658.11545
lka,27,2020,SSP1,4C,62658.11545
lso,4,2020,SSP1,1C,2281.223799
lso,4,2020,SSP1,2C,2281.223799
lso,4,2020,SSP1,3C,2281.223799
lso,4,2020,SSP1,4C,2281.223799
ltu,12,2020,SSP1,1C,35792.35772
ltu,12,2020,SSP1,2C,35792.35772
ltu,12,2020,SSP1,3C,35792.35772
ltu,12,2020,SSP1,4C,35792.35772
lux,13,2020,SSP1,1C,36704.85012
lux,13,2020,SSP1,2C,36704.85012
lux,13,2020,SSP1,3C,36704.85012
lux,13,2020,SSP1,4C,36704.85012
lva,12,2020,SSP1,1C,20751.83548
lva,12,2020,SSP1,2C,20751.83548
lva,12,2020,SSP1,3C,20751.83548
lva,12,2020,SSP1,4C,20751.83548
mac,11,2020,SSP1,1C,17084.50805
mac,11,2020,SSP1,2C,17084.50805
mac,11,2020,SSP1,3C,17084.50805
mac,11,2020,SSP1,4C,17084.50805
mar,3,2020,SSP1,1C,75729.50435
mar,3,2020,SSP1,2C,75729.50435
mar,3,2020,SSP1,3C,75729.50435
mar,3,2020,SSP1,4C,75729.50435
mda,14,2020,SSP1,1C,4015.181409
mda,14,2020,SSP1,2C,4015.181409
mda,14,2020,SSP1,3C,4015.181409
mda,14,2020,SSP1,4C,4015.181409
mdg,2,2020,SSP1,1C,9883.415141
mdg,2,2020,SSP1,2C,10107.2981
mdg,2,2020,SSP1,3C,10390.88319
mdg,2,2020,SSP1,4C,10757.33405
mdv,27,2020,SSP1,1C,1166.211943
mdv,27,2020,SSP1,2C,1166.211943
mdv,27,2020,SSP1,3C,1166.211943
mdv,27,2020,SSP1,4C,1166.211943
mex,20,2020,SSP1,1C,943342.0097
mex,20,2020,SSP1,2C,943342.0097
mex,20,2020,SSP1,3C,943342.0097
mex,20,2020,SSP1,4C,943342.0097
mkd,15,2020,SSP1,1C,15784.80975
mkd,15,2020,SSP1,2C,15784.80975
mkd,15,2020,SSP1,3C,15784.80975
mkd,15,2020,SSP1,4C,15784.80975
mli,5,2020,SSP1,1C,13048.99642
mli,5,2020,SSP1,2C,13477.9819
mli,5,2020,SSP1,3C,14007.95744
mli,5,2020,SSP1,4C,14627.68077
mlt,12,2020,SSP1,1C,5851.306183
mlt,12,2020,SSP1,2C,5851.306183
mlt,12,2020,SSP1,3C,5851.306183
mlt,12,2020,SSP1,4C,5851.306183
mmr,29,2020,SSP1,1C,54251.66337
mmr,29,2020,SSP1,2C,56256.23866
mmr,29,2020,SSP1,3C,58517.60164
mmr,29,2020,SSP1,4C,61114.15676
mne,15,2020,SSP1,1C,4684.383439
mne,15,2020,SSP1,2C,4684.383439
mne,15,2020,SSP1,3C,4684.383439
mne,15,2020,SSP1,4C,4684.383439
mng,10,2020,SSP1,1C,12411.17265
mng,10,2020,SSP1,2C,12411.17265
mng,10,2020,SSP1,3C,12411.17265
mng,10,2020,SSP1,4C,12411.17265
moz,4,2020,SSP1,1C,18793.0725
moz,4,2020,SSP1,2C,19325.24102
moz,4,2020,SSP1,3C,19979.8083
moz,4,2020,SSP1,4C,20734.20305
mrt,5,2020,SSP1,1C,7449.172286
mrt,5,2020,SSP1,2C,7449.172286
mrt,5,2020,SSP1,3C,7449.172286
