scenario,region,sector,year,value,value_ref,prices_bysector_change
3CgSSP2,Africa_Western,wholesale gas,2100,3.22597,3.20438,0.6737652837678357
3CgSSP2,Africa_Western,csp_backup,2100,9.01108,8.95077,0.673796779494942
3CgSSP2,Africa_Western,elec_gas (CC),2100,4.83207,4.79962,0.6760951908692744
3CgSSP2,Africa_Western,elec_gas (steam/CT),2100,7.03064,6.98295,0.6829491833680641
3CgSSP2,Africa_Western,regional fibercrop,2100,0.310045,0.307884,0.7018877239479883
3CgSSP2,Africa_Western,regional othergrain,2100,0.0995816,0.0988669,0.7228910788140547
3CgSSP2,Africa_Western,OtherGrain,2100,0.101233,0.100478,0.7514082684766871
3CgSSP2,Africa_Western,FiberCrop,2100,0.312721,0.310155,0.827328271348201
3CgSSP2,Africa_Western,regional biomassOil,2100,7.15779,7.09217,0.925245728740287
3CgSSP2,Africa_Western,Dairy,2100,0.607837,0.602185,0.9385819972267643
3CgSSP2,Africa_Western,regional corn,2100,0.102357,0.101376,0.9676846590909186
3CgSSP2,Africa_Western,Soybean,2100,0.167184,0.165533,0.9973842073785805
3CgSSP2,Africa_Western,Corn,2100,0.10571,0.104618,1.0437974344758987
3CgSSP2,Africa_Western,Beef,2100,5.24783,5.19169,1.0813434546361604
3CgSSP2,Africa_Western,other industrial energy use,2100,8.99577,8.89895,1.087993527326269
3CgSSP2,Africa_Western,water_td_irr_AfrCstNW_W,2100,0.0128659,0.0127272,1.0897919416682404
3CgSSP2,Africa_Western,regional legumes,2100,0.239947,0.236722,1.362357533309116
3CgSSP2,Africa_Western,OilCrop,2100,0.294432,0.290467,1.3650431890714099
3CgSSP2,Africa_Western,Legumes,2100,0.240981,0.23768,1.3888421406933686
3CgSSP2,Africa_Western,Pasture,2100,0.0582817,0.0574297,1.4835529351537595
3CgSSP2,Africa_Western,Pasture_FodderGrass,2100,0.0582817,0.0574297,1.4835529351537595
3CgSSP2,Africa_Western,water_td_irr_SenegalR_W,2100,0.00489091,0.00481218,1.6360568391041055
3CgSSP2,Africa_Western,NonFoodDemand_Forest,2100,200.264,196.978,1.6682066017524806
3CgSSP2,Africa_Western,regional forest,2100,200.264,196.978,1.6682066017524806
3CgSSP2,Africa_Western,Forest,2100,200.44,197.14,1.6739373034391862
3CgSSP2,Africa_Western,regional nuts_seeds,2100,0.609467,0.598234,1.8776933440760533
3CgSSP2,Africa_Western,elec_geothermal,2100,12.5602,12.3131,2.0068057597193203
3CgSSP2,Africa_Western,NutsSeeds,2100,0.61137,0.599196,2.031722508160939
3CgSSP2,Africa_Western,water_td_muni_W,2100,0.0621112,0.060832,2.102840610205157
3CgSSP2,Africa_Western,regional corn for ethanol,2100,4.46764,4.37409,2.138730570244336
3CgSSP2,Africa_Western,water_td_ind_W,2100,0.051502,0.0501893,2.615497725610837
3CgSSP2,Africa_Western,water_td_an_W,2100,0.013519,0.0131233,3.0152476892245135
3CgSSP2,Africa_Western,water_td_irr_NileR_W,2100,0.0189653,0.0183338,3.444457777438393
3CgSSP2,Africa_Western,water_td_elec_W,2100,0.0208177,0.0200442,3.8589716726035452
3CgSSP2,Africa_Western,water_td_pri_W,2100,0.0208174,0.0200439,3.859029430400271
3CgSSP2,Africa_Western,water_td_irr_AfrCstW_W,2100,0.003331,0.0032066,3.8794985342730683
3CgSSP2,Africa_Western,water_td_irr_GuineaGulf_W,2100,0.00113198,0.00108918,3.929561688609796
